customer_id,customer_name,email,phone_number,city
101,Customer_1,CUST1@GMAIL.COM,9000000000,Indore
102,Customer_2,CUST2@GMAIL.COM,9000000001,Mumbai
103,Customer_3,CUST3@GMAIL.COM,9000000002,Bangalore
104,Customer_4,CUST4@GMAIL.COM,9000000003,Bhopal
105,Customer_5,CUST5@GMAIL.COM,9000000004,Hyderabad
106,Customer_6,CUST6@GMAIL.COM,9000000005,Pune
107,Customer_7,CUST7@GMAIL.COM,9000000006,Pune
108,Customer_8,CUST8@GMAIL.COM,9000000007,Delhi
109,Customer_9,CUST9@GMAIL.COM,9000000008,Bhopal
110,Customer_10,CUST10@GMAIL.COM,9000000009,Mumbai
111,Customer_11,CUST11@GMAIL.COM,9000000010,Indore
112,Customer_12,CUST12@GMAIL.COM,9000000011,Bhopal
113,Customer_13,CUST13@GMAIL.COM,9000000012,Mysore
114,Customer_14,CUST14@GMAIL.COM,9000000013,Jaipur
115,Customer_15,CUST15@GMAIL.COM,9000000014,Mumbai
116,Customer_16,CUST16@GMAIL.COM,9000000015,Lucknow
117,Customer_17,CUST17@GMAIL.COM,9000000016,Kolkata
118,Customer_18,CUST18@GMAIL.COM,9000000017,Bangalore
119,Customer_19,CUST19@GMAIL.COM,9000000018,Bangalore
120,Customer_20,CUST20@GMAIL.COM,9000000019,Mumbai
121,Customer_21,CUST21@GMAIL.COM,9000000020,Pune
122,Customer_22,CUST22@GMAIL.COM,9000000021,Pune
123,Customer_23,CUST23@GMAIL.COM,9000000022,Jaipur
124,Customer_24,CUST24@GMAIL.COM,9000000023,Lucknow
125,Customer_25,CUST25@GMAIL.COM,9000000024,Bangalore
126,Customer_26,CUST26@GMAIL.COM,9000000025,Jaipur
127,Customer_27,CUST27@GMAIL.COM,9000000026,Pune
128,Customer_28,CUST28@GMAIL.COM,9000000027,Bhopal
129,Customer_29,CUST29@GMAIL.COM,9000000028,Indore
130,Customer_30,CUST30@GMAIL.COM,9000000029,Bhopal
131,Customer_31,CUST31@GMAIL.COM,9000000030,Jaipur
132,Customer_32,CUST32@GMAIL.COM,9000000031,Kolkata
133,Customer_33,CUST33@GMAIL.COM,9000000032,Pune
134,Customer_34,CUST34@GMAIL.COM,9000000033,Ahmedabad
135,Customer_35,CUST35@GMAIL.COM,9000000034,Lucknow
136,Customer_36,CUST36@GMAIL.COM,9000000035,Hyderabad
137,Customer_37,CUST37@GMAIL.COM,9000000036,Kochi
138,Customer_38,CUST38@GMAIL.COM,9000000037,Coimbatore
139,Customer_39,CUST39@GMAIL.COM,9000000038,Bangalore
140,Customer_40,CUST40@GMAIL.COM,9000000039,Kochi
141,Customer_41,CUST41@GMAIL.COM,9000000040,Kochi
142,Customer_42,CUST42@GMAIL.COM,9000000041,Delhi
143,Customer_43,CUST43@GMAIL.COM,9000000042,Bhopal
